Descriptions,Specifications,Cartype,original_price,original_price,original_price,Discounts
2014 Honda Amaze,"78,312 km1st OwnerPetrol",1.2 SMT I VTEC Manual,"₹397,299","₹397,300","₹397,301",
2017 Maruti Vitara Brezza,"77,989 km1st OwnerDiesel",ZDI Manual,"₹813,199","₹813,200","₹813,201",
2017 Hyundai Elite i20,"37,061 km1st OwnerPetrol",ASTA 1.2 (O) Manual,"₹592,299","₹592,300","₹592,301",
2018 Tata Hexa,"35,845 km1st OwnerDiesel",Varicor 320 XE Manual,"₹998,899","₹998,900","₹998,901",
2017 Maruti Vitara Brezza,"32,882 km1st OwnerDiesel",LDI OPT Manual,"₹696,499","₹696,500","₹696,501",
2017 Maruti Vitara Brezza,"114,650 km1st OwnerDiesel",ZDI PLUS Manual,"₹771,199","₹771,200","₹771,201",
2017 Mahindra TUV300,"38,289 km1st OwnerDiesel",T8 Manual,"₹712,999","₹712,1000","₹712,1001",
2016 Maruti Vitara Brezza,"74,337 km1st OwnerDiesel",ZDI PLUS Manual,"₹806,299","₹806,300","₹806,301",
2016 Maruti Vitara Brezza,"51,775 km1st OwnerDiesel",ZDI PLUS DUAL TONE Manual,"₹735,499","₹735,500","₹735,501",
2016 Maruti Vitara Brezza,"93,977 km1st OwnerDiesel",ZDI Manual,"₹750,099","₹750,100","₹750,101",
2017 Maruti Ertiga,"15,427 km1st OwnerDiesel",ZDI PLUS SHVS Manual,"₹860,299","₹860,300","₹860,301",
2014 Hyundai Elite i20,"95,703 km1st OwnerDiesel",ASTA 1.4 CRDI Manual,"₹537,699","₹537,700","₹537,701",
2014 Honda Amaze,"93,230 km1st OwnerDiesel",1.5 SMT I DTEC Manual,"₹419,499","₹419,500","₹419,501",
2017 Maruti Ertiga,"25,713 km2nd OwnerDiesel",ZDI PLUS SHVS Manual,"₹879,199","₹879,200","₹879,201",
2017 Maruti S Cross,"67,396 km1st OwnerDiesel",ZETA 1.3 Manual,"₹739,599","₹739,600","₹739,601",
2013 Honda CRV,"63,153 km2nd OwnerPetrol",2.4 AWD AT AVN Manual,"₹943,699","₹943,700","₹943,701",
2017 Maruti Dzire,"38,140 km1st OwnerPetrol",ZXI Plus AMT Automatic,"₹672,999","₹672,1000","₹672,1001",
2017 Maruti Dzire,"19,822 km1st OwnerPetrol",VXI AMT Automatic,"₹672,199","₹672,200","₹672,201",
2017 Maruti Dzire,"107,185 km1st OwnerDiesel",VDI Manual,"₹679,799","₹679,800","₹679,801",
2017 Maruti S Cross,"43,867 km1st OwnerDiesel",DELTA 1.3 Manual,"₹818,499","₹818,500","₹818,501",
2018 Maruti Dzire,"19,340 km2nd OwnerPetrol",VXI Manual,"₹661,699","₹661,700","₹661,701",
2016 Maruti Baleno,"9,073 km1st OwnerPetrol",DELTA 1.2 K12 Manual,"₹610,399","₹610,400","₹610,401",
2016 Maruti Ertiga,"89,584 km2nd OwnerDiesel",VDI SHVS Manual,"₹775,799","₹775,800","₹775,801",
2016 Maruti Baleno,"42,062 km1st OwnerPetrol",ZETA 1.2 K12 CVT Automatic,"₹639,899","₹639,900","₹639,901",
2016 Maruti Baleno,"66,813 km1st OwnerPetrol",ZETA 1.2 K12 AMT Automatic,"₹654,499","₹654,500","₹654,501",
2018 Maruti Dzire,"6,778 km1st OwnerPetrol",VXI Manual,"₹709,999","₹709,1000","₹709,1001",
2020 Hyundai VENUE,"14,942 km1st OwnerPetrol",1.0 TURBO GDI SX+ AT Automatic,"₹1,156,099","₹1,156,100","₹1,156,101",
